Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
318,45,49,49,65,65,45
405,60,62,63,80,80,60
525,80,82,83,100,100,80
309,39,52,43,60,50,65
405,58,64,58,80,65,80
534,78,84,78,109,85,100
314,44,48,65,50,64,43
405,59,63,80,65,80,58
530,79,83,100,85,105,78
195,45,30,35,20,20,45
205,50,20,55,25,25,30
395,60,45,50,90,80,70
195,40,35,30,20,20,50
205,45,25,50,25,25,35
395,65,90,40,45,80,75
251,40,45,40,35,35,56
349,63,60,55,50,50,71
479,83,80,75,70,70,101
253,30,56,35,25,35,72
413,55,81,60,50,70,97
262,40,60,30,31,31,70
442,65,90,65,61,61,100
288,35,60,44,40,54,55
438,60,85,69,65,79,80
320,35,55,40,50,50,90
485,60,90,55,90,80,110
300,50,75,85,20,30,40
450,75,100,110,45,55,65
275,55,47,52,40,40,41
365,70,62,67,55,55,56
505,90,92,87,75,85,76
273,46,57,40,40,40,50
365,61,72,57,55,55,65
505,81,102,77,85,75,85
323,70,45,48,60,65,35
483,95,70,73,95,90,60
299,38,41,40,50,65,65
505,73,76,75,81,100,100
270,115,45,20,45,25,20
435,140,70,45,85,50,45
245,40,45,35,30,40,55
455,75,80,70,65,75,90
320,45,50,55,75,65,30
395,60,65,70,85,75,40
490,75,80,85,110,90,50
285,35,70,55,45,55,25
405,60,95,80,60,80,30
305,60,55,50,40,55,45
450,70,65,60,90,75,90
265,10,55,25,35,45,95
405,35,80,50,50,70,120
290,40,45,35,40,40,90
440,65,70,60,65,65,115
320,50,52,48,65,50,55
500,80,82,78,95,80,85
305,40,80,35,35,45,70
455,65,105,60,60,70,95
350,55,70,45,70,50,60
555,90,110,80,100,80,95
300,40,50,40,40,40,90
385,65,65,65,50,50,90
510,90,95,95,70,90,70
310,25,20,15,105,55,90
400,40,35,30,120,70,105
500,55,50,45,135,95,120
305,70,80,50,35,35,35
405,80,100,70,50,60,45
505,90,130,80,65,85,55
300,50,75,35,70,30,40
390,65,90,50,85,45,55
490,80,105,65,100,70,70
335,40,40,35,50,100,70
515,80,70,65,80,120,100
300,40,80,100,30,30,20
390,55,95,115,45,45,35
495,80,120,130,55,65,45
410,50,85,55,65,65,90
500,65,100,70,80,80,105
315,90,65,65,40,40,15
490,95,75,110,100,80,30
325,25,35,70,95,55,45
465,50,60,95,120,70,70
352,52,65,55,58,62,60
310,35,85,45,35,35,75
460,60,110,70,60,60,100
325,65,45,55,45,70,45
475,90,70,80,70,95,70
325,80,80,50,40,50,25
500,105,105,75,65,100,50
305,30,65,100,45,25,40
525,50,95,180,85,45,70
310,30,35,30,100,35,80
405,45,50,45,115,55,95
500,60,65,60,130,75,110
385,35,45,160,30,45,70
328,60,48,45,43,90,42
483,85,73,70,73,115,67
325,30,105,90,25,25,50
475,55,130,115,50,50,75
330,40,30,50,55,55,100
480,60,50,70,80,80,140
325,60,40,80,60,45,40
520,95,95,85,125,65,55
320,50,50,95,40,50,35
425,60,80,110,50,80,45
455,50,120,53,35,110,87
455,50,105,79,35,110,76
385,90,55,75,60,75,30
340,40,65,95,60,45,35
490,65,90,120,85,70,60
345,80,85,95,30,30,25
485,105,130,120,45,45,40
450,250,5,5,35,105,50
435,65,55,115,100,40,60
490,105,95,80,40,80,90
295,30,40,70,70,25,60
440,55,65,95,95,45,85
320,45,67,60,35,50,63
450,80,92,65,65,80,68
340,30,45,55,70,55,85
520,60,75,85,100,85,115
460,40,45,65,100,120,90
500,70,110,80,55,80,105
455,65,50,35,115,95,95
490,65,83,57,95,85,105
495,65,95,57,100,85,93
500,65,125,100,55,70,85
490,75,100,95,40,70,110
200,20,10,55,15,20,80
540,95,125,79,60,100,81
535,130,85,80,85,95,60
288,48,48,48,48,48,48
325,55,55,50,45,65,55
525,130,65,60,110,95,65
525,65,65,60,110,95,130
525,65,130,60,95,110,65
395,65,60,70,85,75,40
355,35,40,100,90,55,35
495,70,60,125,115,70,55
355,30,80,90,55,45,55
495,60,115,105,65,70,80
515,80,105,65,60,75,130
540,160,110,65,65,110,30
580,90,85,100,95,125,85
580,90,90,85,125,90,100
580,90,100,90,125,85,90
300,41,64,45,50,50,50
420,61,84,65,70,70,70
600,91,134,95,100,100,80
680,106,110,90,154,90,130
600,100,100,100,100,100,100
318,45,49,65,49,65,45
405,60,62,80,63,80,60
525,80,82,100,83,100,80
309,39,52,43,60,50,65
405,58,64,58,80,65,80
534,78,84,78,109,85,100
314,50,65,64,44,48,43
405,65,80,80,59,63,58
530,85,105,100,79,83,78
215,35,46,34,35,45,20
415,85,76,64,45,55,90
262,60,30,30,36,56,50
442,100,50,50,76,96,70
265,40,20,30,40,80,55
390,55,35,50,55,110,85
250,40,60,40,40,40,30
390,70,90,70,60,60,40
535,85,90,80,70,80,130
330,75,38,38,56,56,67
460,125,58,58,76,76,67
205,20,40,15,35,35,60
218,50,25,28,45,55,15
210,90,30,15,40,20,15
245,35,20,65,40,65,20
405,55,40,85,80,105,40
320,40,50,45,70,45,70
470,65,75,70,95,70,95
280,55,40,40,65,45,35
365,70,55,55,80,60,45
510,90,75,85,115,90,55
